ID;Active (0/1);Name *;Categories (x,y,z...);Reference #;EAN13;Tags,(x,y,z...);Feature(Name:Value:Position)
565;1;Sarnath Museum;8;Sarnath;Uttar Pradesh;Sarnath,Museum,Sarnath,Uttar,Pradesh;State:Uttar Pradesh,Dist/Location:Sarnath
566;1;Hanumangarhi;8;Ayodhya;Uttar Pradesh;Hanumangarhi,Ayodhya,Uttar,Pradesh;State:Uttar Pradesh,Dist/Location:Ayodhya
567;1;Tomb of Mariam-uz-Zamani;8;Agra;Uttar Pradesh;Tomb,of,Mariam-uz-Zamani,Agra,Uttar,Pradesh;State:Uttar Pradesh,Dist/Location:Agra
568;1;Musamman Burj;8;Agra;Uttar Pradesh;Musamman,Burj,Agra,Uttar,Pradesh;State:Uttar Pradesh,Dist/Location:Agra
569;1;Aligarh Fort;8;Aligarh;Uttar Pradesh;Aligarh,Fort,Aligarh,Uttar,Pradesh;State:Uttar Pradesh,Dist/Location:Aligarh
570;1;Chini Ka Rauza;8;Agra;Uttar Pradesh;Chini,Ka,Rauza,Agra,Uttar,Pradesh;State:Uttar Pradesh,Dist/Location:Agra
571;1;Swaraj Bhavan;8;Allahabad;Uttar Pradesh;Swaraj,Bhavan,Allahabad,Uttar,Pradesh;State:Uttar Pradesh,Dist/Location:Allahabad
572;1;Govardhan hill;8;Vrindavana;Uttar Pradesh;Govardhan,hill,Vrindavana,Uttar,Pradesh;State:Uttar Pradesh,Dist/Location:Vrindavana
573;1;Jawahar Planetarium;8;Allahabad;Uttar Pradesh;Jawahar,Planetarium,Allahabad,Uttar,Pradesh;State:Uttar Pradesh,Dist/Location:Allahabad
574;1;Moti Masjid;8;Agra;Uttar Pradesh;Moti,Masjid,Agra,Uttar,Pradesh;State:Uttar Pradesh,Dist/Location:Agra
575;1;Ram Bagh;8;Agra;Uttar Pradesh;Ram,Bagh,Agra,Uttar,Pradesh;State:Uttar Pradesh,Dist/Location:Agra
576;1;Jama Mosque;8;Fatehpur;Uttar Pradesh;Jama,Mosque,Fatehpur,Uttar,Pradesh;State:Uttar Pradesh,Dist/Location:Fatehpur
577;1;Government Museum;8;Mathura;Uttar Pradesh;Government,Museum,Mathura,Uttar,Pradesh;State:Uttar Pradesh,Dist/Location:Mathura
578;1;Nawabganj Bird Sanctuary;8;Ravanhar;Uttar Pradesh;Nawabganj,Bird,Sanctuary,Ravanhar,Uttar,Pradesh;State:Uttar Pradesh,Dist/Location:Ravanhar
579;1;Babri Masjid;8;Ayodhya;Uttar Pradesh;Babri,Masjid,Ayodhya,Uttar,Pradesh;State:Uttar Pradesh,Dist/Location:Ayodhya
580;1;Gyanvapi Mosque;8;Varanasi;Uttar Pradesh;Gyanvapi,Mosque,Varanasi,Uttar,Pradesh;State:Uttar Pradesh,Dist/Location:Varanasi
581;1;Moti Jheel;8;Kanpur;Uttar Pradesh;Moti,Jheel,Kanpur,Uttar,Pradesh;State:Uttar Pradesh,Dist/Location:Kanpur
