ID;Active (0/1);Name *;Categories (x,y,z...);Reference #;EAN13;Tags,(x,y,z...);Feature(Name:Value:Position)
874;1;Inglis Island ;8;Havelock Island;Andaman Island;Inglis,Island,Havelock,Island,Andaman,Island;State:Andaman Island,Dist/Location:Havelock Island
875;1;Ferar Beach;8;Port Blair;Andaman Island;Ferar,Beach,Port,Blair,Andaman,Island;State:Andaman Island,Dist/Location:Port Blair
876;1;Murugan Temple;8;Port Blair;Andaman Island;Murugan,Temple,Port,Blair,Andaman,Island;State:Andaman Island,Dist/Location:Port Blair
877;1;Fishery Museum;8;Port Blair;Andaman Island;Fishery,Museum,Port,Blair,Andaman,Island;State:Andaman Island,Dist/Location:Port Blair
878;1;Viper Island;8;Port Blair;Andaman Island;Viper,Island,Port,Blair,Andaman,Island;State:Andaman Island,Dist/Location:Port Blair
879;1;Mount Harriet National Park;8;Port Blair;Andaman Island;Mount,Harriet,National,Park,Port,Blair,Andaman,Island;State:Andaman Island,Dist/Location:Port Blair
880;1;Science Centre;8;Port Blair;Andaman Island;Science,Centre,Port,Blair,Andaman,Island;State:Andaman Island,Dist/Location:Port Blair
881;1;Kayaking & Canoeing;8;;Andaman Island;Kayaking,&,Canoeing,Andaman,Island;State:Andaman Island,Dist/Location:
882;1;Little Andaman Island;8;North Andaman Island;Andaman Island;Little,Andaman,Island,North,Andaman,Island,Andaman,Island;State:Andaman Island,Dist/Location:North Andaman Island
883;1;Zsi Museum ;8;Port Blair;Andaman Island;Zsi,Museum,Port,Blair,Andaman,Island;State:Andaman Island,Dist/Location:Port Blair
884;1;Diglipur Beach;8;Diglipur;Andaman Island;Diglipur,Beach,Diglipur,Andaman,Island;State:Andaman Island,Dist/Location:Diglipur
885;1;Sippighat Farm;8;Port Blair;Andaman Island;Sippighat,Farm,Port,Blair,Andaman,Island;State:Andaman Island,Dist/Location:Port Blair
886;1;Mud Volcano;8;Baratang Island;Andaman Island;Mud,Volcano,Baratang,Island,Andaman,Island;State:Andaman Island,Dist/Location:Baratang Island
887;1;Cinque Island;8;North Andaman Island;Andaman Island;Cinque,Island,North,Andaman,Island,Andaman,Island;State:Andaman Island,Dist/Location:North Andaman Island
888;1;Barren Island Volcano;8;;Andaman Island;Barren,Island,Volcano,Andaman,Island;State:Andaman Island,Dist/Location:
889;1;Forest Museum;8;;Andaman Island;Forest,Museum,Andaman,Island;State:Andaman Island,Dist/Location:
890;1;Dhani Nala Beach ;8;Rangat;Andaman Island;Dhani,Nala,Beach,Rangat,Andaman,Island;State:Andaman Island,Dist/Location:Rangat
891;1;Mini-Zoo ;8;Port Blair;Andaman Island;Mini-Zoo,Port,Blair,Andaman,Island;State:Andaman Island,Dist/Location:Port Blair
892;1;Amkunj Beach;8;North Andaman Island;Andaman Island;Amkunj,Beach,North,Andaman,Island,Andaman,Island;State:Andaman Island,Dist/Location:North Andaman Island
893;1;Parrot Island;8;;Andaman Island;Parrot,Island,Andaman,Island;State:Andaman Island,Dist/Location:
894;1;Mahatma Gandhi Marine National Park;8;;Andaman Island;Mahatma,Gandhi,Marine,National,Park,Andaman,Island;State:Andaman Island,Dist/Location:
895;1;Cyber Hub;8;Gurgaon;Haryana;Cyber,Hub,Gurgaon,Haryana;State:Haryana,Dist/Location:Gurgaon
896;1;Kingdom of Dreams;8;Gurgaon;Haryana;Kingdom,of,Dreams,Gurgaon,Haryana;State:Haryana,Dist/Location:Gurgaon
897;1;Ambience Mall;8;Gurgaon;Haryana;Ambience,Mall,Gurgaon,Haryana;State:Haryana,Dist/Location:Gurgaon
898;1;Sai Ka Angan Temple;8;Gurgaon;Haryana;Sai,Ka,Angan,Temple,Gurgaon,Haryana;State:Haryana,Dist/Location:Gurgaon
899;1;Sheetla Mata Mandir;8;Gurgaon;Haryana;Sheetla,Mata,Mandir,Gurgaon,Haryana;State:Haryana,Dist/Location:Gurgaon
900;1;Leisure Valley Park;8;Gurgaon;Haryana;Leisure,Valley,Park,Gurgaon,Haryana;State:Haryana,Dist/Location:Gurgaon
901;1;Sultanpur National Park Bird Sanctuary;8;Gurgaon;Haryana;Sultanpur,National,Park,Bird,Sanctuary,Gurgaon,Haryana;State:Haryana,Dist/Location:Gurgaon
902;1;Tau Devi Lal Bio Diversity Park;8;Gurgaon;Haryana;Tau,Devi,Lal,Bio,Diversity,Park,Gurgaon,Haryana;State:Haryana,Dist/Location:Gurgaon
903;1;NeverEnuf Garden Railway;8;Gurgaon;Haryana;NeverEnuf,Garden,Railway,Gurgaon,Haryana;State:Haryana,Dist/Location:Gurgaon
904;1;Oysters Beach Water Park;8;Gurgaon;Haryana;Oysters,Beach,Water,Park,Gurgaon,Haryana;State:Haryana,Dist/Location:Gurgaon
905;1;Aravalli Biodiversity Park;8;Gurgaon;Haryana;Aravalli,Biodiversity,Park,Gurgaon,Haryana;State:Haryana,Dist/Location:Gurgaon
906;1;Stellar Children's Museum;8;Gurgaon;Haryana;Stellar,Children's,Museum,Gurgaon,Haryana;State:Haryana,Dist/Location:Gurgaon
907;1;Tikli Bottom;8;Gurgaon;Haryana;Tikli,Bottom,Gurgaon,Haryana;State:Haryana,Dist/Location:Gurgaon
908;1;MGF Metropolitan Mall;8;Gurgaon;Haryana;MGF,Metropolitan,Mall,Gurgaon,Haryana;State:Haryana,Dist/Location:Gurgaon
909;1;Qutub Khan's Tomb;8;Gurgaon;Haryana;Qutub,Khan's,Tomb,Gurgaon,Haryana;State:Haryana,Dist/Location:Gurgaon
910;1;Gurgaon Central Mall;8;Gurgaon;Haryana;Gurgaon,Central,Mall,Gurgaon,Haryana;State:Haryana,Dist/Location:Gurgaon
